cluster_id	change_node43	GO_domain_ids	GO_domain_description	IPR_domain_ids	IPR_domain_description	Pfam_domain_ids	Pfam_domain_description
OG0007505	-1	None	None	IPR019405	Family Lactonase, 7-bladed beta propeller	PF10282	Lactonase, 7-bladed beta-propeller
OG0007506	-1	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0007507	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0007508	-1	GO:0005576;GO:0016787	extracellular region ;hydrolase activity 	IPR010126	Family Esterase, PHB depolymerase	PF10503	Esterase PHB depolymerase
OG0007509	-1	None	None	None	None	None	None
OG0007510	-1	GO:0005524;GO:0016020;GO:0055085;GO:0140359	ATP binding ;membrane ;transmembrane transport ;ABC-type transporter activity 	IPR003439;IPR011527	Domain ABC transporter-like, ATP-binding domain;Domain ABC transporter type 1, transmembrane domain	PF00005;PF00664	ABC transporter;ABC transporter transmembrane region
OG0007511	-1	None	None	None	None	None	None
OG0007512	-1	None	None	IPR011611	Domain Carbohydrate kinase PfkB	PF00294	pfkB family carbohydrate kinase
OG0007513	-1	GO:0051287	NAD binding 	IPR006140	Domain D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain	PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
OG0007514	-1	GO:0004601;GO:0006979;GO:0020037	peroxidase activity ;response to oxidative stress ;heme binding 	IPR002016	Domain Haem peroxidase	PF00141	Peroxidase
OG0007515	-1	None	None	IPR002347	Family Short-chain dehydrogenase/reductase SDR	PF00106	short chain dehydrogenase
OG0007516	-1	None	None	None	None	None	None
OG0007517	-1	None	None	IPR010730	Domain Heterokaryon incompatibility	PF06985	Heterokaryon incompatibility protein (HET)
OG0007518	-1	GO:0005524;GO:0016887	ATP binding ;ATP hydrolysis activity 	IPR003959	Domain ATPase, AAA-type, core	PF00004	ATPase family associated with various cellular activities (AAA)
OG0007519	-1	None	None	None	None	None	None
OG0007520	-1	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups 	IPR000182	Domain GNAT domain	PF13508	Acetyltransferase (GNAT) domain
OG0007521	-1	GO:0005515	protein binding 	IPR001214	Domain SET domain	PF00856	SET domain
OG0007522	-1	GO:0008270;GO:0003677;GO:0006351;GO:0000981;GO:0006355	zinc ion binding ;DNA binding ;DNA-templated transcription ;DNA-binding transcription factor activity, RNA polymerase II-specific ;regulation of DNA-templated transcription 	IPR007219;IPR001138	Domain Transcription factor domain, fungi;Domain Zn(2)Cys(6) fungal-type DNA-binding domain	PF04082;PF00172	Fungal specific transcription factor domain ;Fungal Zn(2)-Cys(6) binuclear cluster domain
OG0007523	-1	GO:0000981;GO:0006355;GO:0008270	DNA-binding transcription factor activity, RNA polymerase II-specific ;regulation of DNA-templated transcription ;zinc ion binding 	IPR001138	Domain Zn(2)Cys(6) fungal-type DNA-binding domain	PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain
OG0007524	-1	None	None	None	None	PF13561	Enoyl-(Acyl carrier protein) reductase
OG0007525	-1	GO:0004096;GO:0020037	catalase activity ;heme binding 	IPR011614;IPR010582;IPR041399	Domain Catalase core domain;Domain Catalase immune-responsive domain;Domain Large catalase, C-terminal domain	PF00199;PF06628;PF18011	Catalase;Catalase-related immune-responsive;C-terminal domain found in long catalases
OG0007527	-1	None	None	IPR037401	Domain SnoaL-like domain	PF13577	SnoaL-like domain
OG0007529	-1	GO:0000981;GO:0003677;GO:0006351;GO:0006355;GO:0008270	DNA-binding transcription factor activity, RNA polymerase II-specific ;DNA binding ;DNA-templated transcription ;regulation of DNA-templated transcription ;zinc ion binding 	IPR001138;IPR007219	Domain Zn(2)Cys(6) fungal-type DNA-binding domain;Domain Transcription factor domain, fungi	PF00172;PF04082	Fungal Zn(2)-Cys(6) binuclear cluster domain;Fungal specific transcription factor domain 
OG0007530	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0007531	-1	GO:0000981;GO:0003677;GO:0006351;GO:0006355;GO:0008270	DNA-binding transcription factor activity, RNA polymerase II-specific ;DNA binding ;DNA-templated transcription ;regulation of DNA-templated transcription ;zinc ion binding 	IPR001138;IPR007219	Domain Zn(2)Cys(6) fungal-type DNA-binding domain;Domain Transcription factor domain, fungi	PF00172;PF04082	Fungal Zn(2)-Cys(6) binuclear cluster domain;Fungal specific transcription factor domain 
OG0007532	-1	GO:0016491	oxidoreductase activity 	IPR000262;IPR001199	Domain FMN-dependent dehydrogenase;Domain Cytochrome b5-like heme/steroid binding domain	PF01070;PF00173	FMN-dependent dehydrogenase;Cytochrome b5-like Heme/Steroid binding domain
OG0007533	-1	GO:0008757	S-adenosylmethionine-dependent methyltransferase activity 	IPR013216	Domain Methyltransferase type 11	PF08241	Methyltransferase domain
OG0007534	-1	None	None	IPR011118	Family Tannase/feruloyl esterase	PF07519	Tannase and feruloyl esterase
OG0007535	-1	GO:0000981;GO:0006355;GO:0008270	DNA-binding transcription factor activity, RNA polymerase II-specific ;regulation of DNA-templated transcription ;zinc ion binding 	IPR001138	Domain Zn(2)Cys(6) fungal-type DNA-binding domain	PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain
OG0007540	-1	None	None	IPR045063	Domain Dynamin, N-terminal	PF00350	Dynamin family
OG0007541	-1	None	None	None	None	None	None
OG0007542	-1	GO:0005515	protein binding 	IPR001810	Domain F-box domain	PF12937	F-box-like
OG0007543	-1	None	None	None	None	PF12831	FAD dependent oxidoreductase
OG0007544	-1	None	None	None	None	None	None
OG0007545	-1	None	None	IPR013149;IPR013154	Domain Alcohol dehydrogenase-like, C-terminal;Domain Alcohol dehydrogenase-like, N-terminal	PF00107;PF08240	Zinc-binding dehydrogenase;Alcohol dehydrogenase GroES-like domain
OG0007546	-1	GO:0008270;GO:0000981;GO:0003677;GO:0006351;GO:0006355	zinc ion binding ;DNA-binding transcription factor activity, RNA polymerase II-specific ;DNA binding ;DNA-templated transcription ;regulation of DNA-templated transcription 	IPR001138;IPR007219	Domain Zn(2)Cys(6) fungal-type DNA-binding domain;Domain Transcription factor domain, fungi	PF00172;PF04082	Fungal Zn(2)-Cys(6) binuclear cluster domain;Fungal specific transcription factor domain 
OG0007548	-1	None	None	IPR013154;IPR013149	Domain Alcohol dehydrogenase-like, N-terminal;Domain Alcohol dehydrogenase-like, C-terminal	PF08240;PF00107	Alcohol dehydrogenase GroES-like domain;Zinc-binding dehydrogenase
OG0007549	-1	None	None	None	None	None	None
OG0007550	-1	None	None	None	None	None	None
OG0007552	-1	None	None	IPR041411	Domain Linalool dehydratase/isomerase	PF18566	Linalool dehydratase/isomerase
OG0007553	-1	None	None	None	None	None	None
OG0007554	-1	None	None	IPR012816	Domain NADAR	PF08719	NADAR domain
OG0007555	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0007556	-1	GO:0000166	nucleotide binding 	IPR004104;IPR000683	Domain Gfo/Idh/MocA-like oxidoreductase, C-terminal;Domain Gfo/Idh/MocA-like oxidoreductase, N-terminal	PF02894;PF01408	Oxidoreductase family, C-terminal alpha/beta domain;Oxidoreductase family, NAD-binding Rossmann fold
OG0007557	-1	GO:0006486;GO:0016757	protein glycosylation ;glycosyltransferase activity 	IPR022751	Family Alpha-mannosyltransferase	PF11051	Mannosyltransferase putative
OG0007558	-1	GO:0005524;GO:0005975;GO:0016773	ATP binding ;carbohydrate metabolic process ;phosphotransferase activity, alcohol group as acceptor 	IPR022673;IPR022672	Domain Hexokinase, C-terminal;Domain Hexokinase, N-terminal	PF03727;PF00349	Hexokinase;Hexokinase
OG0007559	-1	None	None	None	None	None	None
OG0007560	-1	None	None	IPR000421	Domain Coagulation factor 5/8, C-terminal domain	PF00754	F5/8 type C domain
OG0007562	-1	GO:0003676;GO:0005524	nucleic acid binding ;ATP binding 	IPR011545	Domain DEAD/DEAH box helicase domain	PF00270	DEAD/DEAH box helicase
OG0007564	-1	None	None	None	None	None	None
OG0007565	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0007567	-1	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR002293	Family Amino acid/polyamine transporter I	PF13520	Amino acid permease
OG0007568	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0007570	-1	None	None	None	None	PF13523	Acetyltransferase (GNAT) domain
OG0007571	-1	None	None	IPR016040	Domain NAD(P)-binding domain	PF13460	NAD(P)H-binding 
OG0007573	-1	None	None	IPR039535	Family Arylsulfotransferase-like	PF14269	Arylsulfotransferase (ASST)
OG0007574	-1	None	None	None	None	None	None
OG0007575	-1	None	None	IPR002347	Family Short-chain dehydrogenase/reductase SDR	PF00106	short chain dehydrogenase
OG0007578	-1	None	None	None	None	None	None
OG0007579	-1	None	None	None	None	None	None
OG0007580	-1	None	None	None	None	None	None
OG0007581	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0007582	-1	GO:0003677;GO:0006351;GO:0008270;GO:0000981;GO:0006355	DNA binding ;DNA-templated transcription ;zinc ion binding ;DNA-binding transcription factor activity, RNA polymerase II-specific ;regulation of DNA-templated transcription 	IPR007219;IPR001138	Domain Transcription factor domain, fungi;Domain Zn(2)Cys(6) fungal-type DNA-binding domain	PF04082;PF00172	Fungal specific transcription factor domain ;Fungal Zn(2)-Cys(6) binuclear cluster domain
OG0007583	-1	None	None	IPR023210	Domain NADP-dependent oxidoreductase domain	PF00248	Aldo/keto reductase family
OG0007584	-1	GO:0000166	nucleotide binding 	IPR000683	Domain Gfo/Idh/MocA-like oxidoreductase, N-terminal	PF01408	Oxidoreductase family, NAD-binding Rossmann fold
OG0007586	-1	None	None	None	None	None	None
OG0007587	-1	GO:0004499;GO:0050660;GO:0050661	N,N-dimethylaniline monooxygenase activity ;flavin adenine dinucleotide binding ;NADP binding 	IPR020946	Family Flavin monooxygenase-like	PF00743	Flavin-binding monooxygenase-like
OG0007588	-1	GO:0006807	N/A	IPR003010	Domain Carbon-nitrogen hydrolase	PF00795	Carbon-nitrogen hydrolase
OG0007589	-1	None	None	IPR002347	Family Short-chain dehydrogenase/reductase SDR	PF13561;PF00106	Enoyl-(Acyl carrier protein) reductase;short chain dehydrogenase
OG0007591	-1	GO:0016787	hydrolase activity 	IPR013094	Domain Alpha/beta hydrolase fold-3	PF07859	alpha/beta hydrolase fold
OG0007592	-1	GO:0016757	glycosyltransferase activity 	IPR007657	Family Glycosyltransferase 61	PF04577	Glycosyltransferase 61
OG0007593	-1	None	None	IPR010497	Domain Epoxide hydrolase, N-terminal	PF06441	Epoxide hydrolase N terminus
OG0007594	-1	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0007595	-1	GO:0016491	oxidoreductase activity 	IPR003819	Domain TauD/TfdA-like domain	PF02668	Taurine catabolism dioxygenase TauD, TfdA family
OG0007596	-1	GO:0005375;GO:0016020;GO:0035434	copper ion transmembrane transporter activity ;membrane ;copper ion transmembrane transport 	IPR007274	Family Ctr copper transporter	PF04145	Ctr copper transporter family
OG0007597	-1	GO:0016491	oxidoreductase activity 	IPR013112;IPR013130	Domain FAD-binding 8;Domain Ferric reductase transmembrane component-like domain	PF08022;PF01794	FAD-binding domain;Ferric reductase like transmembrane component
OG0007598	-1	None	None	IPR023631	Domain Amidase signature domain	PF01425	Amidase
OG0007600	-1	GO:0004497;GO:0005506;GO:0016705;GO:0020037	monooxygenase activity ;iron ion binding ;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ;heme binding 	IPR001128	Family Cytochrome P450	PF00067	Cytochrome P450
OG0007601	-1	None	None	None	None	None	None
OG0007602	-1	GO:0016491	oxidoreductase activity 	IPR003819	Domain TauD/TfdA-like domain	PF02668	Taurine catabolism dioxygenase TauD, TfdA family
OG0007606	-1	GO:0000981;GO:0006355;GO:0008270;GO:0003677;GO:0006351	DNA-binding transcription factor activity, RNA polymerase II-specific ;regulation of DNA-templated transcription ;zinc ion binding ;DNA binding ;DNA-templated transcription 	IPR001138;IPR007219	Domain Zn(2)Cys(6) fungal-type DNA-binding domain;Domain Transcription factor domain, fungi	PF00172;PF04082	Fungal Zn(2)-Cys(6) binuclear cluster domain;Fungal specific transcription factor domain 
OG0007607	-1	GO:0016491	oxidoreductase activity 	IPR003819	Domain TauD/TfdA-like domain	PF02668	Taurine catabolism dioxygenase TauD, TfdA family
OG0007610	-1	None	None	None	None	None	None
OG0007614	-1	GO:0003677;GO:0006351;GO:0008270	DNA binding ;DNA-templated transcription ;zinc ion binding 	IPR007219	Domain Transcription factor domain, fungi	PF04082	Fungal specific transcription factor domain 
OG0007615	-1	GO:0000981;GO:0006355;GO:0008270	DNA-binding transcription factor activity, RNA polymerase II-specific ;regulation of DNA-templated transcription ;zinc ion binding 	IPR001138;IPR021858	Domain Zn(2)Cys(6) fungal-type DNA-binding domain;Family Fungal transcription factor	PF00172;PF11951	Fungal Zn(2)-Cys(6) binuclear cluster domain;Fungal specific transcription factor domain
OG0007616	-1	None	None	None	None	None	None
OG0007617	-1	None	None	IPR003812	Domain Fido domain	PF02661	Fic/DOC family
OG0007618	-1	None	None	None	None	None	None
OG0007619	-1	None	None	None	None	None	None
OG0007621	-1	None	None	IPR000192	Domain Aminotransferase class V domain	PF00266	Aminotransferase class-V
OG0007622	-1	None	None	None	None	None	None
OG0007623	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0007624	-1	None	None	None	None	None	None
OG0007625	-1	None	None	None	None	None	None
OG0007629	-1	None	None	IPR021858	Family Fungal transcription factor	PF11951	Fungal specific transcription factor domain
OG0007630	-1	GO:0004386	helicase activity 	IPR041679;IPR041677	Domain DNA2/NAM7 helicase-like, C-terminal;Domain DNA2/NAM7 helicase, helicase domain	PF13087;PF13086	AAA domain;AAA domain
OG0007631	-1	GO:0004553;GO:0030245	hydrolase activity, hydrolyzing O-glycosyl compounds ;cellulose catabolic process 	IPR016288	Family 1, 4-beta cellobiohydrolase	PF01341	Glycosyl hydrolases family 6
OG0007634	-1	GO:0016491	oxidoreductase activity 	IPR006076	Domain FAD dependent oxidoreductase	PF01266	FAD dependent oxidoreductase
OG0007635	-1	None	None	IPR021858	Family Fungal transcription factor	PF11951	Fungal specific transcription factor domain
OG0007636	-1	None	None	IPR001466	Domain Beta-lactamase-related	PF00144	Beta-lactamase
OG0007637	-1	None	None	IPR002347	Family Short-chain dehydrogenase/reductase SDR	PF00106	short chain dehydrogenase
OG0007638	-1	GO:0008484	sulfuric ester hydrolase activity 	IPR000917	Domain Sulfatase, N-terminal	PF00884	Sulfatase
OG0007639	-1	None	None	IPR001279	Domain Metallo-beta-lactamase	PF00753	Metallo-beta-lactamase superfamily
OG0007640	-1	GO:0004553;GO:0071704	hydrolase activity, hydrolyzing O-glycosyl compounds ;N/A	IPR001547;IPR005102	Domain Glycoside hydrolase, family 5;Domain Carbohydrate binding X2 domain	PF00150;PF03442	Cellulase (glycosyl hydrolase family 5);Carbohydrate binding domain X2
OG0007642	-1	None	None	IPR013096	Domain Cupin 2, conserved barrel	PF07883	Cupin domain
OG0007643	-1	GO:0000166	nucleotide binding 	IPR004104;IPR000683	Domain Gfo/Idh/MocA-like oxidoreductase, C-terminal;Domain Gfo/Idh/MocA-like oxidoreductase, N-terminal	PF02894;PF01408	Oxidoreductase family, C-terminal alpha/beta domain;Oxidoreductase family, NAD-binding Rossmann fold
OG0007644	-1	GO:0005975;GO:0008061	carbohydrate metabolic process ;chitin binding 	IPR001223;IPR001002;IPR018392;IPR006970	Domain Glycoside hydrolase family 18, catalytic domain;Domain Chitin-binding, type 1;Domain LysM domain;Repeat PT repeat	PF00704;PF00187;PF01476;PF04886	Glycosyl hydrolases family 18;Chitin recognition protein;LysM domain;PT repeat
OG0007645	-1	None	None	None	None	None	None
OG0007646	-1	GO:0005975;GO:0008810	carbohydrate metabolic process ;cellulase activity 	IPR000334	Domain Glycoside hydrolase, family 45	PF02015	Glycosyl hydrolase family 45
OG0007647	-1	None	None	IPR021858	Family Fungal transcription factor	PF11951	Fungal specific transcription factor domain
OG0007648	-1	None	None	IPR001509	Domain NAD-dependent epimerase/dehydratase	PF01370	NAD dependent epimerase/dehydratase family
OG0007649	-1	GO:0000981;GO:0006355;GO:0008270	DNA-binding transcription factor activity, RNA polymerase II-specific ;regulation of DNA-templated transcription ;zinc ion binding 	IPR001138	Domain Zn(2)Cys(6) fungal-type DNA-binding domain	PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain
OG0007650	-1	GO:0006631;GO:0050151;GO:0071949	fatty acid metabolic process ;oleate hydratase activity ;FAD binding 	IPR010354	Family Oleate hydratase	PF06100	MCRA family
OG0007651	-1	GO:0009058;GO:0030170	biosynthetic process ;pyridoxal phosphate binding 	IPR004839	Domain Aminotransferase, class I/classII, large domain	PF00155	Aminotransferase class I and II
OG0007652	-1	None	None	IPR013149;IPR013154	Domain Alcohol dehydrogenase-like, C-terminal;Domain Alcohol dehydrogenase-like, N-terminal	PF00107;PF08240	Zinc-binding dehydrogenase;Alcohol dehydrogenase GroES-like domain
OG0007653	-1	GO:0016787	hydrolase activity 	IPR006680	Domain Amidohydrolase-related	PF01979	Amidohydrolase family
OG0007654	-1	GO:0030599;GO:0042545	pectinesterase activity ;cell wall modification 	IPR000070	Domain Pectinesterase, catalytic	PF01095	Pectinesterase
OG0007655	-1	GO:0008270;GO:0003677;GO:0006351	zinc ion binding ;DNA binding ;DNA-templated transcription 	IPR007219	Domain Transcription factor domain, fungi	PF04082	Fungal specific transcription factor domain 
OG0007656	-1	None	None	IPR010308;IPR032800	Domain TRP, C-terminal;Domain ML-like domain	PF06011;PF14558	Transient receptor potential (TRP) ion channel;ML-like domain
OG0007657	-1	GO:0004497;GO:0005506;GO:0016705;GO:0020037	monooxygenase activity ;iron ion binding ;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ;heme binding 	IPR001128	Family Cytochrome P450	PF00067	Cytochrome P450
OG0007658	-1	GO:0046983	protein dimerization activity 	IPR011598	Domain Myc-type, basic helix-loop-helix (bHLH) domain	PF00010	Helix-loop-helix DNA-binding domain
OG0007659	-1	GO:0008484	sulfuric ester hydrolase activity 	IPR000917	Domain Sulfatase, N-terminal	PF00884	Sulfatase
OG0007660	-1	None	None	None	None	None	None
OG0007661	-1	GO:0005515	protein binding 	IPR001214	Domain SET domain	PF00856	SET domain
OG0007662	-1	None	None	IPR013154;IPR013149	Domain Alcohol dehydrogenase-like, N-terminal;Domain Alcohol dehydrogenase-like, C-terminal	PF08240;PF00107	Alcohol dehydrogenase GroES-like domain;Zinc-binding dehydrogenase
OG0007663	-1	None	None	None	None	None	None
OG0007664	-1	GO:0005524;GO:0016887	ATP binding ;ATP hydrolysis activity 	IPR003959	Domain ATPase, AAA-type, core	PF00004	ATPase family associated with various cellular activities (AAA)
OG0007665	-1	None	None	IPR006598	Domain Glycosyl transferase CAP10 domain	PF05686	Glycosyl transferase family 90
OG0007666	-1	GO:0005975	carbohydrate metabolic process 	IPR018392;IPR001223	Domain LysM domain;Domain Glycoside hydrolase family 18, catalytic domain	PF01476;PF00704	LysM domain;Glycosyl hydrolases family 18
OG0007667	-1	None	None	IPR010730	Domain Heterokaryon incompatibility	PF06985	Heterokaryon incompatibility protein (HET)
OG0007669	-1	None	None	IPR002347	Family Short-chain dehydrogenase/reductase SDR	PF00106	short chain dehydrogenase
OG0007671	-1	None	None	IPR002347	Family Short-chain dehydrogenase/reductase SDR	PF00106	short chain dehydrogenase
OG0007672	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0007673	-1	None	None	IPR002347	Family Short-chain dehydrogenase/reductase SDR	PF00106	short chain dehydrogenase
OG0007674	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0007675	-1	None	None	None	None	None	None
OG0007676	-1	GO:0016846	carbon-sulfur lyase activity 	IPR006913	Domain CENP-V/GFA domain	PF04828	Glutathione-dependent formaldehyde-activating enzyme
OG0007678	-1	None	None	None	None	None	None
OG0007679	-1	GO:0000981;GO:0006355;GO:0008270	DNA-binding transcription factor activity, RNA polymerase II-specific ;regulation of DNA-templated transcription ;zinc ion binding 	IPR001138	Domain Zn(2)Cys(6) fungal-type DNA-binding domain	PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain
OG0007680	-1	None	None	IPR023210	Domain NADP-dependent oxidoreductase domain	PF00248	Aldo/keto reductase family
OG0007681	-1	GO:0004553;GO:0005975	hydrolase activity, hydrolyzing O-glycosyl compounds ;carbohydrate metabolic process 	IPR041351;IPR006102	Domain Exo-beta-D-glucosaminidase, Ig-fold domain;Domain Glycoside hydrolase, family 2, immunoglobulin-like beta-sandwich	PF18368;PF00703	Exo-beta-D-glucosaminidase Ig-fold domain;Glycosyl hydrolases family 2
OG0007682	-1	None	None	None	None	None	None
OG0007683	-1	None	None	None	None	None	None
OG0007684	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0007685	-1	None	None	IPR023210	Domain NADP-dependent oxidoreductase domain	PF00248	Aldo/keto reductase family
OG0007686	-1	GO:0050660	flavin adenine dinucleotide binding 	IPR006094	Domain FAD linked oxidase, N-terminal	PF01565	FAD binding domain 
OG0007687	-1	None	None	IPR025340	Family Protein of unknown function DUF4246	PF14033	Protein of unknown function (DUF4246)
OG0007688	-1	None	None	IPR005198	Family Glycoside hydrolase, family 76	PF03663	Glycosyl hydrolase family 76 
OG0007690	-1	None	None	None	None	PF13671	AAA domain
OG0007691	-1	None	None	IPR000408	Repeat Regulator of chromosome condensation, RCC1	PF00415;PF13540	Regulator of chromosome condensation (RCC1) repeat;Regulator of chromosome condensation (RCC1) repeat
OG0007692	-1	None	None	IPR001466	Domain Beta-lactamase-related	PF00144	Beta-lactamase
OG0007693	-1	None	None	None	None	None	None
OG0007694	-1	None	None	IPR001466	Domain Beta-lactamase-related	PF00144	Beta-lactamase
OG0007696	-1	None	None	None	None	None	None
OG0007697	-1	None	None	IPR025649	Family Protein of unknown function DUF4360	PF14273	Domain of unknown function (DUF4360)
OG0007698	-1	GO:0016787	hydrolase activity 	IPR013094	Domain Alpha/beta hydrolase fold-3	PF07859	alpha/beta hydrolase fold
OG0007699	-1	None	None	None	None	None	None
OG0007700	-1	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0007701	-1	None	None	IPR007138	Domain Antibiotic biosynthesis monooxygenase domain	PF03992	Antibiotic biosynthesis monooxygenase
OG0007702	-1	GO:0008270;GO:0003677;GO:0006351;GO:0000981;GO:0006355	zinc ion binding ;DNA binding ;DNA-templated transcription ;DNA-binding transcription factor activity, RNA polymerase II-specific ;regulation of DNA-templated transcription 	IPR007219;IPR001138	Domain Transcription factor domain, fungi;Domain Zn(2)Cys(6) fungal-type DNA-binding domain	PF04082;PF00172	Fungal specific transcription factor domain ;Fungal Zn(2)-Cys(6) binuclear cluster domain
OG0007703	-1	None	None	IPR002018	Domain Carboxylesterase, type B	PF00135	Carboxylesterase family
OG0007704	-1	GO:0004181;GO:0006508;GO:0008270	metallocarboxypeptidase activity ;proteolysis ;zinc ion binding 	IPR000834	Domain Peptidase M14, carboxypeptidase A	PF00246	Zinc carboxypeptidase
OG0007705	-1	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0007706	-1	None	None	IPR002347	Family Short-chain dehydrogenase/reductase SDR	PF00106	short chain dehydrogenase
OG0007707	-1	None	None	IPR015920	Domain Cellobiose dehydrogenase, cytochrome domain	PF16010	Cytochrome domain of cellobiose dehydrogenase
OG0007708	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR010573	Family Major facilitator transporter Str1/Tri12-like	PF06609	Fungal trichothecene efflux pump (TRI12)
OG0007709	-1	None	None	IPR004360	Domain Glyoxalase/fosfomycin resistance/dioxygenase domain	PF00903	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
OG0007710	-1	None	None	IPR013154;IPR013149	Domain Alcohol dehydrogenase-like, N-terminal;Domain Alcohol dehydrogenase-like, C-terminal	PF08240;PF00107	Alcohol dehydrogenase GroES-like domain;Zinc-binding dehydrogenase
OG0007711	-1	None	None	None	None	None	None
OG0007712	-1	GO:0016020	membrane 	IPR007568	Family RTA-like protein	PF04479	RTA1 like protein
OG0007713	-1	None	None	IPR002347	Family Short-chain dehydrogenase/reductase SDR	PF00106	short chain dehydrogenase
OG0007714	-1	None	None	IPR005103	Domain Auxiliary Activity family 9, catalytic domain	PF03443	Auxiliary Activity family 9 (formerly GH61)
OG0007715	-1	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR001248	Family Purine-cytosine permease	PF02133	Permease for cytosine/purines, uracil, thiamine, allantoin
OG0007716	-1	None	None	None	None	None	None
OG0007718	-1	None	None	None	None	None	None
OG0007719	-1	GO:0000981;GO:0006355;GO:0008270;GO:0003677;GO:0006351	DNA-binding transcription factor activity, RNA polymerase II-specific ;regulation of DNA-templated transcription ;zinc ion binding ;DNA binding ;DNA-templated transcription 	IPR001138;IPR007219	Domain Zn(2)Cys(6) fungal-type DNA-binding domain;Domain Transcription factor domain, fungi	PF00172;PF04082	Fungal Zn(2)-Cys(6) binuclear cluster domain;Fungal specific transcription factor domain 
OG0007720	-1	None	None	IPR013154;IPR013149	Domain Alcohol dehydrogenase-like, N-terminal;Domain Alcohol dehydrogenase-like, C-terminal	PF08240;PF00107	Alcohol dehydrogenase GroES-like domain;Zinc-binding dehydrogenase
OG0007721	-1	None	None	None	None	None	None
OG0007722	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
